ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_4,Dependents_0,Dependents_1,Dependents_2,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes
4583,1508.0,128.0,360.0,1.0,0,0,False,True,False,True,False,False,True,False,True,False,True,False
3000,0.0,66.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,True,False,False,True
2583,2358.0,120.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,False,True,True,False
6000,0.0,141.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
5417,4196.0,267.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,False,True
2333,1516.0,95.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,False,True,True,False
3036,2504.0,158.0,360.0,0.0,1,0,False,True,False,True,True,False,False,False,True,False,True,False
4006,1526.0,168.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,True,False
12841,10968.0,349.0,360.0,1.0,1,0,False,True,False,True,False,False,True,False,True,False,True,False
3200,700.0,70.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,True,False
3073,8106.0,200.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,True,False
1853,2840.0,114.0,360.0,1.0,0,0,False,True,True,False,False,True,False,False,True,False,True,False
1299,1086.0,17.0,120.0,1.0,2,1,False,True,False,True,False,False,False,True,True,False,True,False
4950,0.0,125.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
3510,0.0,76.0,360.0,0.0,2,0,True,False,True,False,False,True,False,False,True,False,True,False
4887,0.0,133.0,360.0,1.0,0,0,False,True,False,True,False,True,False,False,False,True,True,False
7660,0.0,104.0,360.0,0.0,2,0,False,True,False,True,False,True,False,False,False,True,True,False
5955,5625.0,315.0,360.0,1.0,2,1,False,True,False,True,False,False,True,False,True,False,True,False
2600,1911.0,116.0,360.0,0.0,1,0,False,True,False,True,False,True,False,False,False,True,True,False
9560,0.0,191.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,False,True
2799,2253.0,122.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
4226,1040.0,110.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,False,True,True,False
1442,0.0,35.0,360.0,1.0,2,0,False,True,True,False,False,True,False,False,False,True,True,False
3167,0.0,74.0,360.0,1.0,2,0,False,True,True,False,False,True,False,False,True,False,True,False
4692,0.0,106.0,360.0,1.0,0,0,False,True,True,False,False,False,True,False,True,False,False,True
3500,1667.0,114.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
12500,3000.0,320.0,360.0,1.0,0,0,False,True,True,False,True,False,False,False,True,False,True,False
3667,1459.0,144.0,360.0,1.0,1,1,True,False,False,True,False,True,False,False,True,False,True,False
4166,7210.0,184.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
3748,1668.0,110.0,360.0,1.0,1,1,False,True,True,False,False,True,False,False,False,True,True,False
3600,0.0,80.0,360.0,1.0,2,0,False,True,True,False,False,True,False,False,True,False,True,False
1800,1213.0,47.0,360.0,1.0,2,1,False,True,True,False,False,True,False,False,True,False,True,False
3941,2336.0,134.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
5649,0.0,44.0,360.0,1.0,2,1,False,True,False,True,False,False,True,False,True,False,True,False
5821,0.0,144.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,True,False,True,False
2645,3440.0,120.0,360.0,0.0,2,0,True,False,False,True,False,True,False,False,True,False,True,False
4000,2275.0,144.0,360.0,1.0,1,1,True,False,True,False,False,True,False,False,True,False,True,False
1928,1644.0,100.0,360.0,1.0,1,1,True,False,False,True,False,True,False,False,False,True,True,False
3086,0.0,120.0,360.0,1.0,1,1,True,False,True,False,False,True,False,False,True,False,True,False
4230,0.0,112.0,360.0,1.0,1,0,True,False,True,False,False,True,False,False,True,False,True,False
4616,0.0,134.0,360.0,1.0,2,0,False,True,False,True,False,False,False,True,True,False,True,False
11500,0.0,286.0,360.0,0.0,2,0,True,False,False,True,False,False,True,False,True,False,False,True
2708,1167.0,97.0,360.0,1.0,1,1,False,True,False,True,False,False,False,True,True,False,True,False
2132,1591.0,96.0,360.0,1.0,1,1,False,True,False,True,False,True,False,False,True,False,True,False
3366,2200.0,135.0,360.0,1.0,0,0,False,True,False,True,False,True,False,False,True,False,True,False
8080,2250.0,180.0,360.0,1.0,2,1,False,True,False,True,False,False,True,False,True,False,True,False
3357,2859.0,144.0,360.0,1.0,2,1,False,True,False,True,False,False,False,True,False,True,True,False
2500,3796.0,120.0,360.0,1.0,2,1,False,True,False,True,False,True,False,False,True,False,True,False
3029,0.0,99.0,360.0,1.0,2,1,False,True,False,True,True,False,False,False,True,False,True,False
2609,3449.0,165.0,180.0,0.0,0,0,False,True,False,True,False,True,False,False,False,True,False,True
